stock_id,name,industry,market,asset_type
00923,群益台ESG低碳50,其他,上市,etf
00924,復華S&P500成長,其他,上市,etf
00926,凱基全球菁英55,其他,上市,etf
00927,群益半導體收益,其他,上市,etf
00929,復華台灣科技優息,其他,上市,etf
00930,永豐ESG低碳高息,其他,上市,etf
00932,兆豐永續高息等權,其他,上市,etf
00934,中信成長高股息,其他,上市,etf
00935,野村臺灣新科技50,其他,上市,etf
00936,台新永續高息中小,其他,上市,etf
00938,凱基優選30,其他,上市,etf
00939,統一台灣高息動能,其他,上市,etf
00940,元大台灣價值高息,其他,上市,etf
00941,中信上游半導體,其他,上市,etf
00943,兆豐電子高息等權,其他,上市,etf
00944,野村趨勢動能高息,其他,上市,etf
00945B,凱基美國非投等債,其他,上市,etf
00946,群益科技高息成長,其他,上市,etf
00947,台新臺灣IC設計,其他,上市,etf
00949,復華日本龍頭,其他,上市,etf
00951,台新日本半導體,其他,上市,etf
00952,凱基台灣AI50,其他,上市,etf
00953B,群益優選非投等債,其他,上市,etf
00954,中信日本半導體,其他,上市,etf
00956,中信日經高股息,其他,上市,etf
00960,野村全球航運龍頭,其他,上市,etf
00961,FT臺灣永續高息,其他,上市,etf
00962,台新AI優息動能,其他,上市,etf
00963,中信全球高股息,其他,上市,etf
00964,中信亞太高股息,其他,上市,etf
00965,元大航太防衛科技,其他,上市,etf
00971,野村美國研發龍頭,其他,上市,etf
00972,野村日本動能高息,其他,上市,etf
009800,中信NASDAQ,其他,上市,etf
009801,中信美國創新科技,其他,上市,etf
009802,富邦旗艦50,其他,上市,etf
009803,保德信市值動能50,其他,上市,etf
009804,聯邦台精彩50,其他,上市,etf
009805,新光美國電力基建,其他,上市,etf
009808,華南永昌優選50,其他,上市,etf
009809,富邦淨零ESG50,其他,上市,etf
00980A,主動野村臺灣優選,其他,上市,etf
009810,保德信全球藍籌,其他,上市,etf
009811,統一美國50,其他,上市,etf
009812,野村日本東證,其他,上市,etf
009813,貝萊德標普卓越50,其他,上市,etf
00981A,主動統一台股增長,其他,上市,etf
00981T,平衡凱基雙核收息,其他,上市,etf
00982A,主動群益台灣強棒,其他,上市,etf
00982D,主動富邦動態入息,其他,上市,etf
00982T,平衡兆豐台美動能,其他,上市,etf
00983A,主動中信ARK創新,其他,上市,etf
00983D,主動富邦複合收益,其他,上市,etf
00984A,主動安聯台灣高息,其他,上市,etf
00985A,主動野村台灣50,其他,上市,etf
00985B,群益ESG投等債0-5,其他,上市,etf
00986A,主動台新龍頭成長,其他,上市,etf
00988A,主動統一全球創新,其他,上市,etf
00989A,主動摩根美國科技,其他,上市,etf
00990A,主動元大AI新經濟,其他,上市,etf
00991A,主動復華未來50,其他,上市,etf
01001T,土銀富邦R1,其他,上市,stock
01002T,土銀國泰R1,其他,上市,stock
01004T,土銀富邦R2,其他,上市,stock
01007T,兆豐國泰R2,其他,上市,stock
01009T,王道圓滿R1,其他,上市,stock
01010T,京城樂富R1,其他,上市,stock
020000,富邦特選蘋果N,其他,上市,stock
020011,統一微波高息20N,其他,上市,stock
020012,富邦行動通訊N,其他,上市,stock
02001L,富邦蘋果正二N,其他,上市,stock
02001R,富邦蘋果反一N,其他,上市,stock
020020,元大台股領航N,其他,上市,stock
020028,元大特選電動車N,其他,上市,stock
020029,元大ESG高股息N,其他,上市,stock
020030,統一智慧電動車N,其他,上市,stock
020031,統一IC設計臺灣N,其他,上市,stock
020032,元大綠能N,其他,上市,stock
020034,元大IC設計N,其他,上市,stock
020036,元大金融配息N,其他,上市,stock
020037,元大金融高股息N,其他,上市,stock
020038,元大ESG配息N,其他,上市,stock
020039,元大加權N,其他,上市,stock
1101,台泥,水泥工業,上市,stock
1101B,台泥乙特,其他,上市,stock
1102,亞泥,水泥工業,上市,stock
1103,嘉泥,水泥工業,上市,stock
1104,環泥,水泥工業,上市,stock
1108,幸福,水泥工業,上市,stock
1109,信大,水泥工業,上市,stock
1110,東泥,水泥工業,上市,stock
1201,味全,食品工業,上市,stock
1203,味王,食品工業,上市,stock
1210,大成,食品工業,上市,stock
1213,大飲,食品工業,上市,stock
1215,卜蜂,食品工業,上市,stock
1216,統一,食品工業,上市,stock
1217,愛之味,食品工業,上市,stock
1218,泰山,食品工業,上市,stock
1219,福壽,食品工業,上市,stock
1220,台榮,食品工業,上市,stock
1225,福懋油,食品工業,上市,stock
1227,佳格,食品工業,上市,stock
1229,聯華,食品工業,上市,stock
1231,聯華食,食品工業,上市,stock
1232,大統益,食品工業,上市,stock
1233,天仁,食品工業,上市,stock
1234,黑松,食品工業,上市,stock
1235,興泰,食品工業,上市,stock
1236,宏亞,食品工業,上市,stock
1256,鮮活果汁-KY,食品工業,上市,stock
1301,台塑,塑膠工業,上市,stock
1303,南亞,塑膠工業,上市,stock
1304,台聚,塑膠工業,上市,stock
1305,華夏,塑膠工業,上市,stock
1307,三芳,塑膠工業,上市,stock
1308,亞聚,塑膠工業,上市,stock
1309,台達化,塑膠工業,上市,stock
1310,台苯,塑膠工業,上市,stock
1312,國喬,塑膠工業,上市,stock
1312A,國喬特,塑膠工業,上市,stock
1313,聯成,塑膠工業,上市,stock
1314,中石化,塑膠工業,上市,stock
1315,達新,塑膠工業,上市,stock
1316,上曜,建材營造業,上市,stock
1319,東陽,汽車工業,上市,stock
1321,大洋,塑膠工業,上市,stock
1323,永裕,塑膠工業,上市,stock
1324,地球,塑膠工業,上市,stock
1325,恆大,塑膠工業,上市,stock
1326,台化,塑膠工業,上市,stock
1337,再生-KY,塑膠工業,上市,stock
1338,廣華-KY,汽車工業,上市,stock
1339,昭輝,汽車工業,上市,stock
1340,勝悅-KY,塑膠工業,上市,stock
1341,富林-KY,塑膠工業,上市,stock
1342,八貫,其他業,上市,stock
1402,遠東新,紡織纖維,上市,stock
1409,新纖,紡織纖維,上市,stock
1410,南染,紡織纖維,上市,stock
1413,宏洲,紡織纖維,上市,stock
1414,東和,紡織纖維,上市,stock
1416,廣豐,其他業,上市,stock
1417,嘉裕,紡織纖維,上市,stock
1418,東華,紡織纖維,上市,stock
1419,新紡,紡織纖維,上市,stock
1423,利華,紡織纖維,上市,stock
1432,大魯閣,運動休閒,上市,stock
1434,福懋,紡織纖維,上市,stock
1435,中福,其他業,上市,stock
1436,華友聯,建材營造業,上市,stock
1437,勤益控,其他業,上市,stock
1438,三地開發,建材營造業,上市,stock
1439,雋揚,建材營造業,上市,stock
1440,南紡,紡織纖維,上市,stock
1441,大東,紡織纖維,上市,stock
1442,名軒,建材營造業,上市,stock
1443,立益物流,其他業,上市,stock
1444,力麗,紡織纖維,上市,stock
1445,大宇,紡織纖維,上市,stock
1446,宏和,紡織纖維,上市,stock
1447,力鵬,紡織纖維,上市,stock
1449,佳和,紡織纖維,上市,stock
1451,年興,紡織纖維,上市,stock
1452,宏益,紡織纖維,上市,stock
1453,大將,建材營造業,上市,stock
1454,台富,紡織纖維,上市,stock
1455,集盛,紡織纖維,上市,stock
1456,怡華,建材營造業,上市,stock
1457,宜進,紡織纖維,上市,stock
1459,聯發,紡織纖維,上市,stock
1460,宏遠,紡織纖維,上市,stock
1463,強盛新,紡織纖維,上市,stock
1464,得力,紡織纖維,上市,stock
1465,偉全,紡織纖維,上市,stock
1466,聚隆,紡織纖維,上市,stock
1467,南緯,紡織纖維,上市,stock
1468,昶和,紡織纖維,上市,stock
1470,大統新創,紡織纖維,上市,stock
1471,首利,電子零組件業,上市,stock
1472,三洋實業,建材營造業,上市,stock
1473,台南,紡織纖維,上市,stock
1474,弘裕,紡織纖維,上市,stock
1475,業旺,紡織纖維,上市,stock
1476,儒鴻,紡織纖維,上市,stock
1477,聚陽,紡織纖維,上市,stock
1503,士電,電機機械,上市,stock
1504,東元,電機機械,上市,stock
1506,正道,電機機械,上市,stock
1512,瑞利,汽車工業,上市,stock
1513,中興電,電機機械,上市,stock
1514,亞力,電機機械,上市,stock
1515,力山,電機機械,上市,stock
1516,川飛,其他業,上市,stock
1517,利奇,電機機械,上市,stock
1519,華城,電機機械,上市,stock
1521,大億,汽車工業,上市,stock
1522,堤維西,汽車工業,上市,stock
1522A,堤維西甲特,汽車工業,上市,stock
1524,耿鼎,汽車工業,上市,stock
1525,江申,汽車工業,上市,stock
1526,日馳,電機機械,上市,stock
1527,鑽全,電機機械,上市,stock
1528,恩德,電機機械,上市,stock
1529,樂事綠能,電機機械,上市,stock
1530,亞崴,電機機械,上市,stock
1531,高林股,電機機械,上市,stock
1532,勤美,電機機械,上市,stock
1533,車王電,汽車工業,上市,stock
1535,中宇,電機機械,上市,stock
1536,和大,汽車工業,上市,stock
1537,廣隆,電機機械,上市,stock
1538,正峰,電機機械,上市,stock
1539,巨庭,電機機械,上市,stock
1540,喬福,電機機械,上市,stock
1541,錩泰,電機機械,上市,stock
1558,伸興,電機機械,上市,stock
1560,中砂,電機機械,上市,stock
1563,巧新,汽車工業,上市,stock
1568,倉佑,汽車工業,上市,stock
1582,信錦,電子零組件業,上市,stock
1583,程泰,電機機械,上市,stock
1587,吉茂,汽車工業,上市,stock
1589,永冠-KY,電機機械,上市,stock
1590,亞德客-KY,電機機械,上市,stock
1597,直得,電機機械,上市,stock
1598,岱宇,運動休閒,上市,stock
1603,華電,電器電纜,上市,stock
1604,聲寶,電器電纜,上市,stock
1605,華新,電器電纜,上市,stock
1608,華榮,電器電纜,上市,stock
1609,大亞,電器電纜,上市,stock
1611,中電,電器電纜,上市,stock
1612,宏泰,電器電纜,上市,stock
1614,三洋電,電器電纜,上市,stock
1615,大山,電器電纜,上市,stock
1616,億泰,電器電纜,上市,stock
1617,榮星,電器電纜,上市,stock
1618,合機,電器電纜,上市,stock
1626,艾美特-KY,電器電纜,上市,stock
1702,南僑,食品工業,上市,stock
1707,葡萄王,生技醫療業,上市,stock
1708,東鹼,化學工業,上市,stock
1709,和益,化學工業,上市,stock
1710,東聯,化學工業,上市,stock
1711,永光,化學工業,上市,stock
1712,興農,化學工業,上市,stock
1713,國化,化學工業,上市,stock
1714,和桐,化學工業,上市,stock
1717,長興,化學工業,上市,stock
1718,中纖,化學工業,上市,stock
1720,生達,生技醫療業,上市,stock
1721,三晃,化學工業,上市,stock
1722,台肥,化學工業,上市,stock
1723,中碳,化學工業,上市,stock
1725,元禎,化學工業,上市,stock
1726,永記,化學工業,上市,stock
1727,中華化,化學工業,上市,stock
1730,花仙子,化學工業,上市,stock
1731,美吾華,生技醫療業,上市,stock
1732,毛寶,化學工業,上市,stock
1733,五鼎,生技醫療業,上市,stock
1734,杏輝,生技醫療業,上市,stock
1735,日勝化,化學工業,上市,stock
1736,喬山,運動休閒,上市,stock
1737,臺鹽,食品工業,上市,stock
1752,南光,生技醫療業,上市,stock
1760,寶齡富錦,生技醫療業,上市,stock
1762,中化生,生技醫療業,上市,stock
1773,勝一,化學工業,上市,stock
1776,展宇,化學工業,上市,stock
1783,和康生,生技醫療業,上市,stock
1786,科妍,生技醫療業,上市,stock
1789,神隆,生技醫療業,上市,stock
1795,美時,生技醫療業,上市,stock
1802,台玻,玻璃陶瓷,上市,stock
1805,寶徠,建材營造業,上市,stock
1806,冠軍,玻璃陶瓷,上市,stock
1808,潤隆,建材營造業,上市,stock
1809,中釉,玻璃陶瓷,上市,stock
1810,和成,玻璃陶瓷,上市,stock
1817,凱撒衛,玻璃陶瓷,上市,stock
1903,士紙,造紙工業,上市,stock
1904,正隆,造紙工業,上市,stock
1905,華紙,造紙工業,上市,stock
1906,寶隆,造紙工業,上市,stock
1907,永豐餘,造紙工業,上市,stock
1909,榮成,造紙工業,上市,stock
2002,中鋼,鋼鐵工業,上市,stock
2002A,中鋼特,鋼鐵工業,上市,stock
2006,東和鋼鐵,鋼鐵工業,上市,stock
2007,燁興,鋼鐵工業,上市,stock
2008,高興昌,鋼鐵工業,上市,stock
2009,第一銅,鋼鐵工業,上市,stock
2010,春源,鋼鐵工業,上市,stock
2012,春雨,鋼鐵工業,上市,stock
2013,中鋼構,鋼鐵工業,上市,stock
2014,中鴻,鋼鐵工業,上市,stock
2015,豐興,鋼鐵工業,上市,stock
2017,官田鋼,鋼鐵工業,上市,stock
2020,美亞,鋼鐵工業,上市,stock
2022,聚亨,鋼鐵工業,上市,stock
2023,燁輝,鋼鐵工業,上市,stock
2024,志聯,鋼鐵工業,上市,stock
2025,千興,鋼鐵工業,上市,stock
2027,大成鋼,鋼鐵工業,上市,stock
2028,威致,鋼鐵工業,上市,stock
2029,盛餘,鋼鐵工業,上市,stock
2030,彰源,鋼鐵工業,上市,stock
2031,新光鋼,鋼鐵工業,上市,stock
2032,新鋼,鋼鐵工業,上市,stock
2033,佳大,鋼鐵工業,上市,stock
2034,允強,鋼鐵工業,上市,stock
2038,海光,鋼鐵工業,上市,stock
2049,上銀,電機機械,上市,stock
2059,川湖,電子零組件業,上市,stock
2062,橋椿,居家生活,上市,stock
2069,運錩,鋼鐵工業,上市,stock
2101,南港,橡膠工業,上市,stock
2102,泰豐,橡膠工業,上市,stock
2103,台橡,橡膠工業,上市,stock
2104,國際中橡,橡膠工業,上市,stock
2105,正新,橡膠工業,上市,stock
2106,建大,橡膠工業,上市,stock
2107,厚生,橡膠工業,上市,stock
2108,南帝,橡膠工業,上市,stock
2109,華豐,橡膠工業,上市,stock
2114,鑫永銓,橡膠工業,上市,stock
2115,六暉-KY,汽車工業,上市,stock
2201,裕隆,汽車工業,上市,stock
2204,中華,汽車工業,上市,stock
2206,三陽工業,汽車工業,上市,stock
2207,和泰車,汽車工業,上市,stock
2208,台船,航運業,上市,stock
2211,長榮鋼,鋼鐵工業,上市,stock
2227,裕日車,汽車工業,上市,stock
2228,劍麟,汽車工業,上市,stock
2231,為升,汽車工業,上市,stock
2233,宇隆,汽車工業,上市,stock
2236,百達-KY,汽車工業,上市,stock
2239,英利-KY,汽車工業,上市,stock
2241,艾姆勒,汽車工業,上市,stock
2243,宏旭-KY,汽車工業,上市,stock
2247,汎德永業,汽車工業,上市,stock
2248,華勝-KY,其他,上市,stock
2250,IKKA-KY,汽車工業,上市,stock
2254,巨鎧精密-創,汽車工業,上市,stock
2258,鴻華先進-創,汽車工業,上市,stock
2301,光寶科,電腦及週邊設備業,上市,stock
2302,麗正,半導體業,上市,stock
2303,聯電,半導體業,上市,stock
2305,全友,電腦及週邊設備業,上市,stock
2308,台達電,電子零組件業,上市,stock
